ConvertedComp,Country,EdLevel,Employment,YearsCodePro
180000,United States,Some college/university study without earning a degree,Employed full-time,12
NA,Guatemala,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,25
1008,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
6732,Viet Nam,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
54784,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,Republic of Korea,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
155000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,15
13188,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,6
128000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,12
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
156000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,5
22449,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,5
NA,Bangladesh,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
15084,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,7
75631,Canada,"Associate degree (A.A., A.S., etc.)",Employed full-time,15
NA,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
25812,Singapore,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,Dominican Republic,Some college/university study without earning a degree,Student,NA
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,20
96874,Australia,Some college/university study without earning a degree,Employed full-time,26
NA,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
NA,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
12000,United States,Some college/university study without earning a degree,Employed part-time,1
150000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,8
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
NA,Mexico,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,NA
12564,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,4
1680000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,15
140000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,20
85000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,7
NA,United States,Some college/university study without earning a degree,"Not employed, but looking for work",NA
NA,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
70150,Australia,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,12
44762,Australia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,10
62612,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,15
127780,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,23
86853,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,18
101892,Hong Kong (S.A.R.),"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,8
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
95000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
131000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,6
56723,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
28020,South Africa,Some college/university study without earning a degree,Employed full-time,3
35508,Hong Kong (S.A.R.),"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
3180,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Less than 1 year
NA,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, and not looking for work",NA
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,NA
16754,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
38778,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Less than 1 year
NA,Australia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Less than 1 year
96874,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,12
57501,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,5
116908,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,20
NA,Cambodia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
NA,United States,Primary/elementary school,Student,NA
46767,Australia,"Associate degree (A.A., A.S., etc.)",Employed full-time,2
5.00E+05,United States,NA,"Independent contractor, freelancer, or self-employed",1
NA,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",31
106000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
360000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,15
105000,United States,"Associate degree (A.A., A.S., etc.)",Employed full-time,8
71831,Bulgaria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,13
62400,Russian Federation,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",5
NA,Australia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
75000,United States,Some college/university study without earning a degree,Employed full-time,4
90000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,6
60505,Canada,Some college/university study without earning a degree,Employed full-time,4
NA,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,5
NA,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Not employed, but looking for work",NA
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,5
16596,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
106895,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,24
6876,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,United States,Some college/university study without earning a degree,Employed part-time,NA
73491,Australia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,3
NA,Nigeria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
117000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,7
NA,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,14
73491,Australia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,10
42090,Australia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,1
2.00E+05,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,5
46767,Australia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,12
6360,Bangladesh,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,4
4.00E+05,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,33
125000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
NA,United States,Some college/university study without earning a degree,Retired,NA
83194,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
1.00E+05,United States,Some college/university study without earning a degree,Employed full-time,5
86853,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
210000,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,8
NA,United States,NA,Student,NA
18150,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
601848,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
3528,Bangladesh,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,Australia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
NA,United States,NA,Student,NA
2.00E+06,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
43866,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,8
35000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Less than 1 year
36252,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,13
7000,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",20
133619,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,12
125000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,3
49160,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
11169,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,6
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Less than 1 year
83838,South Korea,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
195000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
NA,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,7
104000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Less than 1 year
NA,Australia,Some college/university study without earning a degree,Employed full-time,32
63469,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
25128,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
54116,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,22
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",3
NA,Switzerland,"Professional degree (JD, MD, etc.)","Independent contractor, freelancer, or self-employed",21
160000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
64287,Canada,"Associate degree (A.A., A.S., etc.)",Employed full-time,8
73491,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,7
103000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,5
55944,Singapore,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
125000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
3853,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
NA,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
40452,Singapore,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
43426,Australia,NA,Employed full-time,1
7679,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Less than 1 year
74000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
NA,Australia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,10
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",2
3348,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
63530,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",3
73491,Australia,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",6
NA,Ecuador,Some college/university study without earning a degree,Retired,NA
16788,Thailand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
8866,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
9773,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,Japan,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",33
70150,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,18
49056,Singapore,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
3600,China,Primary/elementary school,"Independent contractor, freelancer, or self-employed",5
2508,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,2
16754,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",12
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,NA
13068,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,5
35000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
145669,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
129718,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,20
110000,United States,Some college/university study without earning a degree,Employed full-time,8
NA,United States,Primary/elementary school,Student,NA
80000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,42
NA,Australia,"Associate degree (A.A., A.S., etc.)",Employed full-time,18
NA,United States,Primary/elementary school,"Independent contractor, freelancer, or self-employed",40
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,NA
NA,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,3
37697,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,12
155000,United States,Some college/university study without earning a degree,Employed full-time,26
5529,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,2
13128,Nepal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,10
9828,Viet Nam,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
NA,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,14
NA,Nepal,Some college/university study without earning a degree,"Not employed, but looking for work",NA
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,7
87300,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
35139,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,7
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Retired,NA
150000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",20
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,NA
115000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,6
160000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,21
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
50500,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
NA,New Zealand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",13
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",NA
NA,Nepal,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
1680,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
15600,Viet Nam,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
150000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,4
35100,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
92068,South Africa,NA,Employed full-time,24
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,15
NA,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,NA
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,NA
71486,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,NA
56788,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
NA,Nepal,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
125000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,6
14412,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,5
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",2
35139,New Zealand,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,2
95000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
77000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
68068,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
NA,Indonesia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
36000,China,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed part-time,3
NA,Australia,NA,"Not employed, but looking for work",NA
135000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,13
76440,Japan,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,20
1.00E+06,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,6
160000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,15
58992,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,13
NA,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,5
8418,Bangladesh,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,Sri Lanka,"Associate degree (A.A., A.S., etc.)",Employed full-time,4
NA,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Not employed, but looking for work",NA
70150,Australia,NA,Employed full-time,15
7032,India,Some college/university study without earning a degree,Employed full-time,5
62000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,9
NA,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
11544,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,14
NA,Indonesia,NA,"Not employed, but looking for work",NA
80172,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,12
11856,Philippines,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,6
48437,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,15
80172,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,29
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",20
83194,Canada,Some college/university study without earning a degree,Employed full-time,21
NA,United States,Some college/university study without earning a degree,"Not employed, but looking for work",NA
7200,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",3
20943,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,9
130000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,7
70000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
11724,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
NA,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,NA
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",NA
18150,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,7
2016,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
112422,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,30
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
NA,United Kingdom,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",2
50303,South Korea,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,10
4572,Indonesia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
NA,United States,Some college/university study without earning a degree,Student,NA
NA,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,17
NA,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed part-time,NA
NA,Republic of Korea,Primary/elementary school,Student,NA
12915,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,7
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Less than 1 year
2.00E+05,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,12
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,6
2016,India,NA,Employed full-time,2
6456,Pakistan,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,10
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",NA
65473,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,NA
12009,South Africa,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,2
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,NA
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
NA,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",15
40086,Australia,Some college/university study without earning a degree,Employed full-time,3
225000,United States,Some college/university study without earning a degree,Employed full-time,5
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,NA
NA,Japan,"Associate degree (A.A., A.S., etc.)",Employed full-time,4
160000,United States,Some college/university study without earning a degree,Employed full-time,22
85000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,8
NA,Viet Nam,"Associate degree (A.A., A.S., etc.)",Employed full-time,NA
16754,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
2.00E+05,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
36091,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,8
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,NA
7400,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,4
75540,Japan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,20
1.00E+06,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,15
40086,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",32
46615,Singapore,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
NA,United States,Primary/elementary school,"Not employed, but looking for work",NA
70428,South Korea,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
230000,Jamaica,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
NA,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Retired,NA
NA,Nigeria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,NA
NA,Japan,Primary/elementary school,Student,NA
44965,Japan,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,2
575000,United States,Some college/university study without earning a degree,Employed full-time,7
134028,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,10
89929,Japan,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,1
8400,Nicaragua,"Professional degree (JD, MD, etc.)",Employed full-time,2
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
11868,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
6702,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
43866,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,1
3180,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,1
NA,United States,Some college/university study without earning a degree,"Not employed, but looking for work",NA
36000,India,NA,"Independent contractor, freelancer, or self-employed",4
450000,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,32
NA,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,13
NA,Australia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Student,NA
NA,South Korea,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,3
42168,Singapore,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
41081,South Korea,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,5
NA,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,2
165000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,5
NA,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,10
30018,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,8
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, and not looking for work",NA
125000,United States,Some college/university study without earning a degree,Employed full-time,5
10920,United States,Some college/university study without earning a degree,Employed part-time,4
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
111000,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,4
NA,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,NA
10548,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,2
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,8
147500,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,9
NA,Viet Nam,Some college/university study without earning a degree,Student,NA
2508,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,1
NA,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",3
38000,United States,Some college/university study without earning a degree,Employed full-time,22
